"","X","X1999","X2000","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009","X2010","X2011","2012","2013","2014","2015","2016"
"1","AK",4.7,4.6,5.1,5.9,6,5.7,4.5,4,4,5.7,11,10.5,9.6,10.4,10.3,10.1,9.1,8.9
"2","AL",6.5,6.4,6.4,7.3,7.8,7.5,6.9,6.6,6.3,6.7,7.7,7.9,7.6,9.3,8.5,7.9,7,6.8
"3","AR",4.4,4,4.8,6.1,5.7,5,4.7,4.2,3.9,6.2,9.9,10.4,9.5,8.5,8.3,6.9,5.8,4.7
"4","AZ",4.6,4.3,5,5.5,5.9,5.7,5.2,5.2,5.3,5.5,7.8,8.2,8.3,11.2,10.7,9.4,8.7,7.6
"5","CA",5.2,4.9,5.4,6.7,6.8,6.2,5.4,4.9,5.4,7.3,11.2,12.2,11.7,12.1,10.4,8.8,7.5,6.9
"6","CO",3.1,2.8,3.8,5.5,6,5.5,5,4.3,3.7,4.8,7.3,8.7,8.4,7.9,7.1,5.2,4,3.4
"7","CT",2.9,2.4,3.1,4.3,5.4,5,4.9,4.3,4.5,5.7,7.9,9.1,8.8,8.2,7.5,6.4,5.6,4.9
"8","DC",3.4,3.7,3.5,4,4.3,4,4.1,3.6,3.4,4.9,8.3,8.4,7.5,9,8.5,7.8,6.9,6
"9","DE",6.4,5.6,6.3,6.4,6.8,7.8,6.4,5.8,5.5,6.5,9.3,9.4,10.2,7.4,6.9,5.9,5,4.5
"10","FL",3.9,3.7,4.7,5.6,5.2,4.6,3.7,3.2,4,6.3,10.4,11.1,10,8.7,7.5,6.6,5.7,5.1
"11","GA",3.9,3.6,4,5,4.8,4.8,5.3,4.7,4.5,6.2,9.9,10.5,10.2,10.3,9.3,8,6.7,6.1
"12","HI",5.4,4.2,4.5,4.2,4.1,3.4,2.9,2.6,2.8,4.3,7.2,6.9,6.8,6.8,5.4,4.7,3.9,3.3
"13","IA",4.9,4.7,5.1,5.6,5.6,4.9,4,3.5,3.1,5.1,8.8,9,8.3,5,4.7,4.3,3.8,3.7
"14","ID",4.4,4.3,5.3,6.5,6.8,6.2,5.7,4.5,5,6.3,10.2,10.4,9.7,7.8,6.8,5.4,4.8,4.4
"15","IL",3,3.1,4.2,5.2,5.3,5.4,5.5,5,4.6,5.9,10.3,10.4,9.1,8.6,8.9,6.9,6,6.1
"16","IN",2.6,2.6,3.3,4,4.5,4.5,4.3,3.7,3.7,4.2,6.4,6,5.5,8.5,7.7,6,4.8,4.5
"17","KS",3.3,3.6,4.2,5.1,5.5,5.5,5,4.4,4.2,4.6,6.9,7.1,6.5,5,4.7,4,3.9,4.1
"18","KY",4.5,4.2,5.2,5.7,6.1,5.4,5.9,5.7,5.4,6.4,10.3,10.2,9.4,9.4,9.4,7.6,6.4,6.3
"19","LA",5.1,5.3,5.7,6.1,6.4,5.9,7.2,4.5,4.3,4.9,6.8,8,7.8,8.1,7.6,7.3,7.3,7
"20","MA",4,3.4,3.8,4.3,5,4.6,4.9,4.6,4.7,5.5,8.1,8.1,7.9,7.1,7.2,6.2,5.2,4
"21","MD",3.6,3.6,4,4.4,4.4,4.3,4.1,3.9,3.5,4.2,7,7.7,7.2,7.7,7.3,6.4,5.7,4.8
"22","ME",3.2,2.7,3.7,5.3,5.7,5.1,4.8,4.9,4.6,5.5,8.1,8.3,7.3,8.2,7.3,6.3,4.9,4.3
"23","MI",3.7,3.6,5.2,6.3,7.2,7,6.8,7,7,8,13.7,12.6,10.4,10.1,10,8.2,6.4,5.8
"24","MN",2.8,3.2,3.8,4.5,4.9,4.7,4.1,4,4.6,5.4,7.8,7.4,6.5,6,5.5,4.8,4.4,4.7
"25","MO",5.1,5.4,5.5,6.6,6.3,6.2,7.5,6.5,6.1,6.6,9.5,10.4,10,7.5,7.1,6.5,5.4,5.1
"26","MS",3.3,3.6,4.6,5.4,5.6,5.9,5.4,4.8,5.1,6.1,9.3,9.6,8.5,10.4,10.2,9,7.6,6.9
"27","MT",5.3,5,4.5,4.4,4.7,4.8,4.4,3.5,3.6,5.1,6.8,7.3,6.9,5.6,5.3,4.7,4.3,4.4
"28","NC",2.8,2.8,3.1,3.6,3.9,3.9,3.8,3.1,3,3.3,4.6,4.6,4.4,10.4,9,7.1,6.4,5.6
"29","ND",4,4.2,5.2,5.6,5.1,4.3,4.1,4,4.5,6.7,11.3,13.5,13,3.5,3.5,3.3,3.3,3.6
"30","NE",2.7,2.7,3.4,4.5,4.3,3.8,3.6,3.4,3.5,3.9,6.2,5.8,5.4,3.7,3.7,3.1,2.9,3.1
"31","NH",4.5,3.7,4.3,5.8,5.8,4.8,4.5,4.7,4.3,5.3,9.1,9.5,9.3,5.4,5,4.2,3.4,2.8
"32","NJ",5.6,4.9,4.9,5.5,5.9,5.5,5.1,4.2,3.8,4.5,7.5,8.1,7.5,9.8,8.7,7.2,6.2,5.3
"33","NM",5.2,4.5,4.8,6.1,6.4,5.8,5,4.5,4.6,5.4,8.3,8.6,8.3,7.8,7.6,7.3,7.2,7.2
"34","NV",3.2,3.7,5.5,6.6,6.4,5.5,5.2,4.7,4.7,6.1,10.6,10.9,10.3,10.2,9,7.6,6.8,5.7
"35","NY",3.3,3,2.9,3.7,3.7,3.4,3.4,3.2,3.1,3.2,4.1,3.8,3.5,8.6,7.7,6.3,5.5,5.1
"36","OH",4.3,4,4.3,5.7,6.2,6.3,5.9,5.4,5.6,6.4,10.3,10.3,8.8,8.1,8.1,6.2,5.3,5.4
"37","OK",3.5,3,3.7,4.7,5.5,4.9,4.5,4,4.1,3.7,6.4,6.8,5.9,5.5,5.7,4.8,4.9,5.4
"38","OR",5.5,5.1,6.4,7.5,8.1,7.3,6.2,5.3,5.2,6.5,11.3,10.6,9.5,10,9.1,7.8,6.4,5.6
"39","PA",4.4,4.1,4.8,5.6,5.7,5.4,5,4.6,4.4,5.3,8,8.5,7.9,8,7.7,6.1,5.7,6
"40","RI",4.2,4.1,4.6,5,5.3,5.2,5,4.9,5.2,7.8,11,11.2,11,9.6,8.5,7.1,5.6,4.9
"41","SC",4.3,3.8,5.2,5.8,6.9,6.8,6.7,6.4,5.7,6.8,11.2,11.2,10.6,11.1,9.2,7.6,7.1,5.7
"42","SD",2.7,2.5,3.1,3.2,3.5,3.7,3.8,3.1,2.8,3.1,4.9,5,4.7,4.8,4.4,4,3.6,3.3
"43","TN",4,3.9,4.6,5.2,5.6,5.3,5.6,5.2,4.7,6.6,10.5,9.7,9,9.2,9.1,7.6,6.5,5.7
"44","TX",4.7,4.3,5,6.4,6.7,5.9,5.4,4.9,4.3,4.8,7.6,8.1,7.8,6.5,6.1,5,4.7,5.2
"45","UT",3.5,3.3,4.4,5.8,5.6,5,4.1,3,2.6,3.6,7.3,7.8,6.7,6.3,5.5,4.7,4.9,4.8
"46","VA",3,2.8,3.3,4,4.3,3.7,3.5,3.7,4,4.7,6.6,6.1,5.5,7.1,6.7,6,5.1,4.7
"47","VT",2.7,2.3,3.2,4.2,4.1,3.8,3.6,3.1,3,3.9,6.7,7.1,6.6,5.6,5,4.5,4.1,3.8
"48","WA",4.9,5.2,6.3,7.4,7.4,6.3,5.6,5,4.7,5.4,9.2,10,9.3,9.5,8.7,7.4,6.9,6.8
"49","WI",6.5,5.5,5,5.9,6,5.3,5.1,4.9,4.6,4.3,7.7,8.7,8.1,7.7,7.4,6,5.1,4.6
"50","WV",3.1,3.5,4.5,5.4,5.7,5,4.7,4.7,4.9,4.9,8.6,8.7,7.8,8.4,7.7,7.5,7.7,7
"51","WY",4.6,3.9,3.8,4,4.3,3.8,3.6,3.2,2.8,3.1,6.3,6.4,5.8,5.2,4.7,4.1,4.1,5
