,linkedin,last_name,first_name,school_most_recent,year_start,year_end,major,degree,company_most_recent,work_start,work_end,job_title,job_location
1,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,   Statistics,   Master of Arts (MA),The Veloz Group,2013.6,2013.8,Software,CA
2,xxx,xxx,xxx,Columbia University in the City of New York,2012,2014,   Statistics,   Master???€??s Degree,pymetrics,2015.1,2017.5,Data Science,NY
3,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,Statistics,Master of Arts (M.A.),Francis &amp; Co,2013.1,2014.2,VBA Developer,GA
4,xxx,xxx,xxx,Columbia University Graduate School of Arts and Sciences,2012,2014,Statistics,Master of Arts (M.A.),GlobalData,2014.6,2014.8,Summer Intern,NY
5,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,Statistics,Master of Arts (MA),National Securities,2013.5,2013.7,Finance,NY
6,xxx,xxx,xxx,Columbia University in the City of New York,2012,2014,Statistics,MA,KMK Consulting Inc.,2014.2,2016.2,Data Analytics,NJ
7,xxx,xxx,xxx,Columbia University in the City of New York,2012,2014,Statistics,Master of Arts (M.A.),Pythagoras Investment Management,2014.8,2019,Finance,NY
8,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,Statistics,Master of Arts (MA),Columbia University in the City of New York,2014.1,2014.7,Lecturer,
9,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,   statistics,   Master of Arts (M.A.),Callida Energy,2013.1,2013.12,Data Science,NY
10,xxx,xxx,xxx,Columbia University in the City of New York,2012,2014,   Statistics,   Master of Arts (M.A.),RBS,2014.7,2017.4,Quantitative Analysis,MA
11,xxx,xxx,xxx,Columbia University in the City of New York,2012,2013,Statistics,Master of Arts (M.A.),Tsinghua University PBC School of Finance,2013.7,2013.8,Research Assistant,Beijing
12,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,   Statistics,   Master of Arts (M.A.),RUN,2014.11,2017.2,Data Science,NY
13,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,   Statistics,   Master of Arts (M.A.),1010data,2015.2,2019,Data Science,NY
14,xxx,xxx,xxx,Columbia University,2013,2014,Statistics,Master of Arts (M.A.),Misys,2014.1,2016.4,Consultant,NY
15,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),PulsePoint,2015.3,2019,Data Science,NY
16,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),Propcy Inc.,2015.3,2015.6,Data Science,NY
17,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),Talkspace,2015.7,2016.1,Data Science,NY
18,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,MA candidate,Marketing Evolution,2015.1,2016.1,Data Analytics,NY
19,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,CICC,2015,2019,Finance,NY
20,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),Fidelity Investments,2014.6,2014.8,Big Data,RI
21,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),Discover Financial Services,2015.8,2019,Analyst,
22,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),"Baidu, Inc.",2016.4,2017.4,Analyst,"   Beijing City, China"
23,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),Deloitte,2015.2,2019,Consultant,NY
24,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,AIG,2015,2017,Data Science,
25,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (MA),Bank of America Merrill Lynch,2015.7,2017.1,Data Analytics,NY
26,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s degree,Liberty Mutual Insurance,2014.6,2019,Actuarial,MA
27,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (M.A.),GlobalData Energy,2014.6,2014.7,Data Analytics,NY
28,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master&#39;s degree,HSBC,2016.7,2018.1,Data Analytics,"   Guangzhou, Guangdong, China"
29,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (M.A.),AUA Private Equity Partners,2014.1,2014.12,Investment,NY
30,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (M.A.),GroupM,2014.1,2016.5,Analyst,NY
31,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (M.A.),Greenlake Capital LLC,2015.3,2015.7,Machine Learning,NY
32,xxx,xxx,xxx,Columbia University,2013,2014,Statistics,MA,MTA,2015.6,2016.9,Management,
33,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master of Arts (M.A.),Wade &amp; Wendy,2015.7,2016.11,Data Science,NY
34,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master&#39;s Degree,KPMG Global Services (KGS),2014.5,2016.4,Data Analytics,NJ
35,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,Statistics,Master???€??s Degree,"Button, Inc.",2015.1,2019,Data Science,NY
36,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts - MA,Discover Financial Services,2015.1,2017.5,Associate,AZ
37,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,   Statistics,   Master&#39;s Degree,Barclays Investment Bank,2015.1,2017.6,Finance,NY
38,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,   Statistics,   Master of Arts (M.A.),UM Worldwide,2015.2,2017.3,Machine Learning,NY
39,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,   Statistics,   Master&#39;s Degree,Medidata Solutions,2016.1,2019,Data Science,NY
40,xxx,xxx,xxx,Columbia University in the City of New York,2013,2015,   Statistics,   Master of Arts - MA,Sher Tremonte LLP,2016.8,2017.4,Analyst,NY
41,xxx,xxx,xxx,Columbia University in the City of New York,2013,2014,Statistics,Master of Arts (MA),JPMorgan Chase &amp; Co.,2017.6,2017.8,Associate,NY
42,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,Scopio,2015.5,2015.9,Data Visualization,NY
43,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,HungryTickets.com,2015,2019,Operations,NY
44,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,   Statistics,   Master???€??s Degree,Tremor Video,2016.5,2017.7,Data Science,MA
45,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,Orchard Platform,2015.6,2015.8,Data Visualization,NY
46,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,   Statistics,   Master&#39;s Degree,BuildingLink.com,2015.6,2015.8,Data Science,NY
47,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),"GF Fund Management Co., Ltd.",2015.5,2015.5,Data Analytics,"   Guangzhou, Guangdong, China"
48,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts - MA,Columbia University in the City of New York,2016.6,2016.7,Teacher,NY
49,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),TD,2016.5,2019,Data Science,"   Toronto, Canada Area"
50,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,Credit Suisse,2016.8,2019,Risk Management,
51,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,American Express,2015.6,2015.8,Management,NY
52,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,Statistics,Master&#39;s degree,University of North Carolina at Chapel Hill,2016.5,2017.2,Research Assistant,NC
53,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,Statistics,Master&#39;s degree,Sinolink Securities,2016.3,2016.6,Business,"   Shanghai City, China"
54,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),Columbia Business School,2015.1,2015.12,Research Assistant,
55,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics -- Graduate school of Arts and Science,Master&#39;s Degree,Center for Computational Learning Systems at Columbia University,2015.1,2015.7,Research Assistant,NY
56,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master???€??s Degree,Bento Technology,2015.6,2015.8,Data Science,CA
57,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,Balbec Capital LP,2015.11,2015.12,Data Analytics,NY
58,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,BlackRock,2015.6,2015.8,Analyst,CA
59,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s degree,Trexquant Investment LP,2015.3,2015.5,Research Assistant,
60,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master???€??s Degree,HMS,2016.7,2019,HMS,OH
61,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,Statistics,Master of Arts (M.A.),Columbia University in the City of New York,2016.2,2019,Research Assistant,NY
62,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,statistics,Master of Arts (MA),SHOO-IN,2015.3,2015.6,Business,NY
63,xxx,xxx,xxx,Columbia University in New York City,2014,2015,Statistics,Master of Arts (M.A.),KMK Consulting Inc.,2016.1,2019,Analyst,
64,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),Scopio,2015.2,2015.5,Data Science,NY
65,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (MA),iPullRank,2015.1,2015.12,Research Assistant,NY
66,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),"Technical Consulting &amp; Research, Inc.",2015.2,2015.5,Education,
67,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,American Express,2015.8,2017.4,Analyst,NY
68,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s Degree,EY,2015.6,2015.8,Actuarial,"   Beijing, China"
69,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master???€??s Degree,"GF Fund Management Co., Ltd.",2015.6,2015.8,Quantitative Analysis,"   Guangzhou, Guangdong, China"
70,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master&#39;s degree,PROPCY,2015.3,2015.5,Investment,???????????? ??????????????????????????????
71,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master???€??s Degree,AlixPartners,2016.5,2019,Data Science,???????????? ??????????????????????????????
72,xxx,xxx,xxx,Columbia University,2014,2015,Statistics,Master&#39;s degree,Major League Gaming,2015.2,2015.7,Data Analytics,???????????? ??????????????????????????????
73,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,Statistics,Master&#39;s degree,People&#39;s Daily,2016.11,2017.11,Business,NY
74,xxx,xxx,xxx,Columbia University in the City of New York,2014,2017,   Statistics,   Master???€??s Degree,Federal Reserve Bank of New York,2017.5,2019,Data Science,NY
75,xxx,xxx,xxx,Columbia University in the City of New York,2014,2016,Statistics,Master&#39;s Degree,Peking University,2016.8,2017.1,Research Assistant,"   Beijing City, China"
76,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,Statistics,Master of Arts (M.A.),CCC Information Services,2015.7,2015.8,Summer Intern,IL
77,xxx,xxx,xxx,Columbia University in the City of New York,2014,2015,   Statistics,   Master of Arts (M.A.),University of Michigan,2015.8,2019,PhD,
78,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,   Statistics,   Master&#39;s Degree,Brocair Partners LLC,2017.4,2019,Investment,NY
79,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,   Statistics,   Master of Arts (M.A.),iPullRank,2017.1,2019,Research Assistant,NY
80,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,   M.A. Statistics,   Master???€??s Degree,Wolters Kluwer,2017.7,2019,Data Science,NY
81,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,   Statistics,   Master&#39;s degree,Snapwiz Inc.,2016.6,2016.8,Data Science,CA
82,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Vertana Group LLC,2016.1,2017.1,Business,NY
83,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"China International Capital Corporation Limited (CICC), Investment Banking Department in Chengdu",2016.7,2016.8,Intern,"   Chengdu, Sichuan, China"
84,xxx,xxx,xxx,Columbia University,2015,2016,statistics,Master of Arts (M.A.),????????????????????????????????????????????????????????????????????????,2016,2016,Summer Intern,
85,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,M.A.,SafeRock,2016.5,2016.9,Data Analytics,NY
86,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Bank of America Merrill Lynch,2016.6,2016.8,Analyst,NY
87,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Cablevision,2016.6,2016.8,Data Science,NY
88,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,Statistics,Master???€??s Degree,"Glenfarne Group, LLC",2017.5,2017.7,Statistics,NY
89,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,Statistics,Master&#39;s degree,Annalect,2017.1,2019,Data Science,NY
90,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016.12,Statistics,Master of Arts (M.A.),HOF Capital,2016.5,2016.8,Investment,NY
91,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Columbia Business School,2016.4,2016.12,Research Assistant,NY
92,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Hospital for Special Surgery,2016.6,2016.12,Statistics,NY
93,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"Hermes Capital Advisors, LLC",2016.9,2016.1,Quantitative Analysis,NY
94,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),EmployToy,2016.6,2016.8,Data Science,NY
95,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"KDS Global, LLC.",2016.6,2016.8,Analyst,CA
96,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Citizens Crime Commission of New York City,2016.1,2016.12,Machine Learning,NY
97,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Superkids Nutrition,2016.1,2016.4,Business,NY
98,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Columbia University in the City of New York,2016.3,2016.6,Consultant,NY
99,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),JETZY,2016.7,2016.9,Analyst,NY
100,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,MATRiX ANALYTiCS CORPORATION,2017.1,2019,Data Science,
101,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Aithon Capital,2016.1,2016.12,Research Assistant,NY
102,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Entropy Technology,2016.5,2016.12,Data Science,NY
103,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,SafeRock,2016.9,2016.11,Statistics,NY
104,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),RubinHaney Capital Management,2016.5,2016.8,Research Assistant,NY
105,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Standard Chartered Bank,2016.7,2016.9,Management,
106,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,Lighter Capital,2016.6,2016.9,Data Science,WA
107,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),"Blue Water Satellite, Inc.",2016.7,2016.9,Data Analytics,Toledo
108,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Pythagoras Investment Management LLC.,2016.5,2016.11,Quantitative Analysis,NY
109,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Blue Diamond Advisory,2016.1,2016.3,Research Assistant,NY
110,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,ISERP Columbia University,2016.3,2016.12,Consultant,NY
111,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics (Economics Concentration),Master???€??s Degree,JPMorgan Chase &amp; Co.,2016.11,2016.12,Risk Management,NY
112,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master&#39;s degree,Columbia University in the City of New York,2016.2,2016.5,Research Assistant,
113,xxx,xxx,xxx,Columbia University,2015,2017,Statistics with a focus on data science,Master&#39;s degree,Santander Consumer USA,2017.1,2019,Data Analytics,TX
114,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,Ohio BWC,2016.6,2017.2,Actuarial,OH
115,xxx,xxx,xxx,Columbia University,2015,2016,Statistics,MA in Statistics,New York State Psychiatric Institute,2016.6,2016.12,Data Analytics,NY
116,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master???€??s Degree,"Alexander Alternative Capital GP, LLC",2016.6,2016.8,Quantitative Analysis,
117,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,   Statistics,   Master???€??s Degree,United Nations,2017.2,2017.4,Finance,
118,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,   Statistics,   Master of Arts (M.A.),Gridology Education &amp; Technology Inc.,2016.5,2019,Business,
119,xxx,xxx,xxx,Columbia University in the City of New York,2015,2017,Statistics,Master of Arts - MA,NASA Goddard Institute for Space Studies,2017.1,2017.8,Analyst,NY
120,xxx,xxx,xxx,Columbia University in the City of New York,2015,2016,Statistics,Master of Arts (M.A.),Kepler / Oquant,2016.6,2016.8,Research Assistant,NY
121,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),Advise Technologies,2017.7,2017.8,Data Analytics,NY
122,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,   Statistics ??????Data Science Concentration),   Master of Arts (M.A.),Autodesk,2017.6,2017.9,Data Science,CA
123,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,   Statistics,   Master of Arts (M.A.),SFL Scientific,2017.8,2017.1,Data Science,
124,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),Alpine Capital Advisors,2017.1,2019,Analyst,NY
125,xxx,xxx,xxx,Columbia University in the City of New York,2016,2018,   Statistics,   Master???€??s Degree,Merlin,2018.1,2019,Data Analytics,NY
126,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts - MA,Peltast Partners,2017.3,2017.6,Data Analytics,IL
127,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master&#39;s degree,PingAn Technology,2017.6,2017.8,Management,
128,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),"China Securities Co., Ltd.",2017.6,2017.8,Business,
129,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Hanweck,2017.6,2017.9,Data Science,NY
130,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Alibaba.com,2017.6,2017.8,Machine Learning,"   Hangzhou, Zhejiang, China"
131,xxx,xxx,xxx,Columbia University Graduate School of Arts and Sciences,2016,2017,statistics,Master of Arts (M.A.),Zeamo,2017.6,2019,Data Analytics,NY
132,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),Zurich North America,2017.6,2019,Data Science,NY
133,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master???€??s Degree,Guosen Securities,2017.6,2017.8,Intern,"   Shenzhen, Guangdong, China"
134,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,M.A. Statistics,Master,Adatos.AI,2018.1,2019,Data Science,NY
135,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master of Arts (M.A.),Tigress Financial Partners,2017.7,2017.9,Analyst,NY
136,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017.12,Statistics,Master&#39;s degree,MongoDB,2017.6,2017.8,Data Analytics,NY
137,xxx,xxx,xxx,Columbia University,2016,2017,Statistics,Master of Arts (MA),China Construction Bank,2017.5,2017.8,Data Analytics,China
138,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,Statistics,Master&#39;s degree,Dragon Quant Asset Management,2017.5,2017.7,Quantitative Analysis,"   Shanghai City, China"
139,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master???€??s Degree,Capital One Auto Finance,2017.6,2017.8,Data Science,
140,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master of Arts (M.A.),startup,2017.12,2019,Data Science,MA
141,xxx,xxx,xxx,Columbia University in the City of New York,2016,2017,   Statistics,   Master???€??s Degree,United Nations ESCAP,2017.6,2017.8,Data Analytics,"   Bangkok Metropolitan Area, Thailand"
142,xxx,xxx,xxx,Columbia University in the City of New York,2017,2018,Statistics,Master&#39;s degree,Columbia Business School,2018.1,2019,Research Assistant,NY
